processo,contratante,contratado,objeto,vigencia,valor_total,data_assinatura
23034.031266/2023-15,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,10.728.613/0001-01 - UNIVERSO LIVROS EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 476.878,87",18/12/2025
23034.031551/2023-28,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,34.942.671/0001-93 - TEXTO EDITORES LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 340.175,17",18/12/2025
23034.031260/2023-30,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,18.556.722/0001-92 - EDITORA EDEBÊ BRASIL LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",22/12/2025 a 17/12/2026,"R$ 257.680,66",21/12/2025
23034.026187/2023-84,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,43.890.492/0001-40 - EDITORA JULIETA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 197.083,34",15/12/2025
23034.035407/2023-61,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,07.115.047/0001-40 - EDITORA RECORD LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 547.383,83",15/12/2025
23034.037252/2023-05,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,17.458.452/0001-14 - EMPREENDIMENTOS MEDEIROS LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 234.995,63",15/12/2025
23034.031527/2023-99,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,40.580.731/0001-78 - PIZOTTI OFICINA DE IDEIAS E COMERCIO DE LIVROS LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 268.277,38",18/12/2025
23034.037178/2023-19,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,13.750.874/0001-08 - EDITORA PULO DO GATO LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 452.350,19",18/12/2025
23034.025334/2023-07,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,40.716.749/0001-54 - AFETO EDITORIAL LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 255.593,86",18/12/2025
23034.031146/2023-18,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,24.928.521/0001-71 - JAQUELINE JANINE DE SOUSA DE ALMEIDA 08259235650,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",22/12/2025 a 17/12/2026,"R$ 526.644,99",21/12/2025
23034.031166/2023-81,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,22.344.103/0001-01 - LUISE BARROS COSTA LIMA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 618.153,14",15/12/2025
23034.031502/2023-95,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,42.436.631/0001-06 - LUNIK SOLUCOES EDUCACIONAIS EIRELI,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 212.723,74",15/12/2025
23034.031533/2023-46,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,38.729.243/0001-38 - RIO 40o TRADE LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 232.652,93",15/12/2025
23034.031510/2023-31,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,04.776.136/0001-49 - MORALES PERLINGEIRO EDITORA E ASSESSORIA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 771.986,24",18/12/2025
23034.031402/2023-69,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,43.414.435/0001-95 - EDITORA LAIS LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 255.430,28",15/12/2025
23034.031127/2023-83,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,30.581.245/0001-10 - GRAN COMERCIO DE LIVROS E SERVICOS LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 604.101,34",15/12/2025
23034.037168/2023-83,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,43.590.874/0001-59 - EDITORA PINHEIRO LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 389.618,46",15/12/2025
23034.031251/2023-49,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,44.551.280/0001-00 - TRIADA EDITORIAL LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 509.916,17",18/12/2025
23034.037250/2023-16,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,64.035.561/0001-09 - ENQUETE EDITORA E COMUNICAÇÃO LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 840.110,37",18/12/2025
23034.031480/2023-63,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,01.418.157/0001-02 - FORMATA - EDITORA EDUCACIONAL,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",22/12/2025 a 17/12/2026,"R$ 251.403,87",21/12/2025
23034.031167/2023-25,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,48.181.754/0001-11 - M.R. CORNACCHIA EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 741.576,46",15/12/2025
23034.031478/2023-94,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,07.028.685/0001-23 - FINO TRACO EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 221.457,16",15/12/2025
23034.026179/2023-38,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,43.886.880/0001-58 - EDITORA SAMBA LELE LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 496.053,02",15/12/2025
23034.031165/2023-36,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,17.192.199/0001-08 - LRV EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 604.537,81",18/12/2025
23034.031213/2023-96,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,28.140.085/0001-22 - REPRESENTACOES PAULISTA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 568.282,28",18/12/2025
23034.025119/2023-06,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,09.369.104/0001-42 - AVALIA QUALIDADE EDUCACIONAL LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 691.873,43",15/12/2025
23034.031113/2023-60,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,03.588.447/0001-11 - GARCIA E GARCIA PRODUCOES LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 429.634,81",15/12/2025
23034.031172/2023-38,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,43.398.300/0001-83 - MARIE EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 564.121,54",15/12/2025
23034.028464/2023-93,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,42.150.652/0001-52 - EDITORA TERRA BRASILIS LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 456.256,53",15/12/2025
23034.031268/2023-04,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,19.908.082/0001-03 - VALOR CRUCIAL TREINAMENTO LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 536.503,85",18/12/2025
23034.027438/2023-48,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,04.160.920/0001-28 - EDIOURO GRAFICA E EDITORA PARTICIPACOES S.A,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 437.147,50",18/12/2025
23034.031147/2023-54,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,00.558.458/0001-60 - JINKINGS EDITORES ASSOCIADOS LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 531.780,65",18/12/2025
23034.031518/2023-06,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,03.053.792/0001-50 - PADARIA DE TEXTOS LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",22/12/2025 a 17/12/2026,"R$ 306.773,17",21/12/2025
23034.031327/2023-36,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,43.590.634/0001-54 - EDITORA GRAFTEN LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 549.873,07",15/12/2025
23034.037177/2023-74,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,94.602.547/0001-00 - EDITORA PROJETO LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 649.530,77",15/12/2025
23034.031134/2023-85,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,14.143.388/0001-94 - GULLIVER EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 194.162,77",18/12/2025
23034.031144/2023-11,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,"04.469.280/0001-32 - JG EDITORA, ARTIGOS ESCOLARES E UNIFORMES LTDA","Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 600.033,67",18/12/2025
23034.031536/2023-80,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,10.358.783/0001-33 - ROTA IMAGINARIA COMUNICACAO E COMERCIO DE LIVROS LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 272.146,66",18/12/2025
23034.026182/2023-51,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,43.887.018/0001-60 - EDITORA ZIG-ZAG LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 612.464,75",15/12/2025
23034.031116/2023-01,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,00.582.584/0001-50 - GILMAR CASSOL EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 424.585,78",15/12/2025
23034.031271/2023-10,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,04.841.583/0001-34 - VERBA EDITORIAL LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 459.327,59",18/12/2025
23034.031507/2023-18,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,18.492.922/0001-29 - MARIA EMILIA PALHA FARIA 06723475631,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 188.490,93",15/12/2025
23034.026978/2023-12,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,15.745.207/0001-62 - CRIVO EDITORIAL LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 542.354,55",15/12/2025
23034.025121/2023-77,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,28.825.824/0001-10 - AYLLON EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 502.855,75",15/12/2025
23034.031242/2023-58,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,03.141.251/0001-84 - TELOS EDITORA LTDA - EPP,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 649.227,02",18/12/2025
23034.025100/2023-51,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,40.150.514/0001-48 - AGIR EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 419.148,65",18/12/2025
23034.031123/2023-03,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,03.889.967/0001-64 - GRAFICA E EDITORA RIO-DG LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",22/12/2025 a 17/12/2026,"R$ 461.973,04",21/12/2025
23034.025808/2023-11,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,21.256.947/0001-38 - ANDRE ALEXANDRE VASCONCELOS,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",22/12/2025 a 17/12/2026,"R$ 902.440,14",21/12/2025
23034.031354/2023-17,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,05.971.897/0001-14 - DISTRIBUIDORA PALMARES LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 239.761,91",15/12/2025
23034.031348/2023-51,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,43.411.274/0001-86 - EDITORA JULIANA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 442.380,75",15/12/2025
23034.026173/2023-61,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,43.886.684/0001-83 - EDITORA LULELE LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 483.844,80",15/12/2025
23034.031265/2023-62,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,07.680.904/0001-54 - UNIVERSO DOS LIVROS EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 551.089,43",18/12/2025
23034.031336/2023-27,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,58.122.318/0001-25 - EDITORA ILUMINURAS LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 995.147,49",15/12/2025
23034.031487/2023-85,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,08.489.154/0001-09 - MARIETA EDITORA E GRAFICA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 201.253,91",18/12/2025
